,bedrooms,bathrooms,toilets,parking_space,price,title,town,state,cluster
1241,5,5,5,4,41000000,6,99,16,0
1244,5,5,6,4,120000000,2,99,16,2
1247,4,4,5,4,54000000,6,99,16,0
1248,5,5,5,4,112500000,4,100,1,2
1249,4,4,5,4,65000000,4,99,16,0
1250,4,4,5,4,46000000,2,10,16,0
1252,3,3,4,4,20000000,1,49,20,0
1262,4,4,5,4,120000000,2,99,16,2
1263,5,6,6,4,78000000,2,99,16,0
1267,5,5,5,4,105000000,2,99,16,2
1268,5,6,7,4,200000000,4,99,16,1
1269,3,3,4,4,85000000,6,106,16,0
1273,5,6,6,4,130000000,2,90,1,2
1274,4,5,4,4,25000000,1,49,20,0
1275,3,4,4,4,25000000,0,10,16,0
1280,5,5,6,4,110000000,2,99,16,2
1281,4,5,6,4,75000000,2,99,16,0
1282,4,4,5,4,67000000,4,99,16,0
1285,4,4,5,4,160000000,6,77,1,2
1288,4,4,5,4,85000000,2,10,16,0
1289,4,5,5,4,80000000,4,104,1,0
1291,4,4,5,4,87000000,2,99,16,0
1294,3,3,4,4,29000000,1,10,16,0
1297,4,5,5,4,45000000,1,48,1,0
1299,5,5,6,4,120000000,2,10,16,2
1302,4,4,5,4,75000000,6,47,1,0
1303,6,6,5,4,130000000,2,99,16,2
1304,4,5,5,4,140000000,2,64,16,2
1305,6,6,7,4,150000000,2,132,11,2
1307,4,4,5,4,75000000,2,64,16,0
1309,4,4,5,4,130000000,2,99,16,2
1312,3,3,4,4,46000000,4,99,16,0
1313,5,5,6,4,220000000,4,144,16,1
1314,5,5,5,4,94000000,2,99,16,0
1317,5,5,5,4,180000000,2,99,16,2
1318,5,4,4,4,110000000,6,99,16,2
1319,4,5,5,4,60000000,4,99,16,0
1321,5,5,6,4,98000000,2,10,16,2
1324,3,3,4,4,40000000,1,10,16,0
1330,5,5,5,4,110000000,2,99,16,2
1334,4,4,5,4,68000000,4,99,16,0
1335,4,4,5,4,65000000,2,10,16,0
1345,3,4,4,4,19000000,1,59,16,0
1346,3,4,4,4,10500000,1,112,18,0
1349,5,5,6,4,155000000,2,99,16,2
1350,5,5,6,4,110000000,2,99,16,2
1351,5,6,6,4,55000000,2,99,16,0
1352,6,6,6,4,130000000,2,49,20,2
